Tweet Coordinates,text,date,id,user,Place Info,location,Geo_Enabled,retweet,likes,lang,keyword
,Tim Costello talking about the 'massive over reach' of the federal government as it tries to bring in new regulatio… https://t.co/tLidFCZA3w,10/08/2021 22:23,1.42522E+18,Cam_Walker,,"Castlemaine, Central VIC",TRUE,1,6,en,Charities
,RT @clcnsw: Clear message in the @FinancialReview from major charities: don't silence us. The senate needs to disallow these harsh new regu…,10/08/2021 22:23,1.42522E+18,AxCheryl,,Australia,FALSE,5,0,en,Charities
,"RT @DannyWRigg: ""I don't want to live in a society dominated by foodbanks and charities to try and feed people.""

Jeremy Corbyn @jeremycorb…",10/08/2021 22:23,1.42522E+18,otivar55,,,TRUE,190,0,en,Charities
,@EclecticRadical @tracyann432 @helencaddes @max_roi @erinalibrarian @moto_librarian @marwilliamson @1mikaelams I do… https://t.co/w8uIqQCfZz,10/08/2021 22:23,1.42522E+18,cynestro,,"Madison, Wi",TRUE,0,0,en,Charities
,"RT @IvoryHecker: Here’s a migrant I met today in McAllen, Texas. Migrants like him process through US Customs &amp; Border Protection and go to…",10/08/2021 22:23,1.42522E+18,NipomoMarc,,Central Coast of Cal,TRUE,215,0,en,Charities
,"These are the charities supported by the shoes @AliciaKeys sent me! Gathering of Justice, Be Rose Foundation, The I… https://t.co/QeedI5EMWX",10/08/2021 22:23,1.42522E+18,wishful,,A little east of LAX ✈️...,FALSE,0,1,en,Charities
,@rikajougasaki if it ends up helping at all my partners parents both work for charities in toledo and id be happy t… https://t.co/hE4RNEdMlg,10/08/2021 22:22,1.42522E+18,ccowness,,Kokiri Forest,FALSE,0,0,en,Charities
,"If we deregister charities because one of their staff commits a crime, maybe we should do the same for religious or… https://t.co/wsauPhboT9",10/08/2021 22:22,1.42522E+18,_jessticulate,,"Canberra, Ngunnawal Land",FALSE,1,3,en,Charities
,@BUSSYDRIVE Preach 🙌 I just donated to LGBTQ charities to help them find a cure,10/08/2021 22:22,1.42522E+18,omegga16,,any pronouns,FALSE,0,1,en,Charities
,@BorisJohnson even though am a labour supporter please make it easier for people to donate to zoo s animal business… https://t.co/wkssbMfIzp,10/08/2021 22:22,1.42522E+18,wingate49422354,,,FALSE,0,0,en,Charities
,Health Charities Ranked by How Much They Spend per Afflicted Person in the United States #Infographic… https://t.co/mXh3SQVtwh,10/08/2021 22:22,1.42522E+18,saadahmad1991,,Pakistan,FALSE,0,0,en,Charities
,"RT @DannyWRigg: ""I don't want to live in a society dominated by foodbanks and charities to try and feed people.""

Jeremy Corbyn @jeremycorb…",10/08/2021 22:22,1.42522E+18,mariamuser,,Milan 🇪🇺 London 🇬🇧,TRUE,190,0,en,Charities
,@POTUS in this coronavirus crisis could you please make it easier for people to donate to zoos animal businesses an… https://t.co/bVOMP8JWnW,10/08/2021 22:22,1.42522E+18,wingate49422354,,,FALSE,0,0,en,Charities
,its hard to understand why churches are seen as charities anyway as pentacostal just refered me to your legal advis… https://t.co/tz085ifTca,10/08/2021 22:22,1.42522E+18,AllanRitchie2,,Sydney,TRUE,0,0,en,Charities
,"RT @IvoryHecker: Here’s a migrant I met today in McAllen, Texas. Migrants like him process through US Customs &amp; Border Protection and go to…",10/08/2021 22:21,1.42522E+18,AveMaria1776,,"Almost Heaven, West Virginia",FALSE,215,0,en,Charities
,We're accepting donations to donate to school charities to raise money for better education standards around the wo… https://t.co/nG0UXH4A4a,10/08/2021 22:21,1.42522E+18,FarlsSamantha,,,FALSE,0,0,en,Charities
